SpeechRecognition,workflow-compute-cpu-1,wav2vec2-base-960h,228.4285415
SpeechRecognition,workflow-compute-cpu-1,wav2vec2-large-960h-lv60-self,691.168086
SpeechRecognition,workflow-compute-cpu-2,wav2vec2-base-960h,166.1090225
SpeechRecognition,workflow-compute-cpu-2,wav2vec2-large-960h-lv60-self,479.073209
SpeechRecognition,workflow-compute-cpu-3,wav2vec2-base-960h,95.3957025
SpeechRecognition,workflow-compute-cpu-3,wav2vec2-large-960h-lv60-self,279.760156
SpeechRecognition,workflow-compute-cpu-4,wav2vec2-base-960h,95.612121
SpeechRecognition,workflow-compute-cpu-4,wav2vec2-large-960h-lv60-self,259.325178
SpeechRecognition,workflow-compute-cpu-5,wav2vec2-base-960h,51.389734
SpeechRecognition,workflow-compute-cpu-5,wav2vec2-large-960h-lv60-self,154.222926
SpeechRecognition,workflow-compute-cpu-6,wav2vec2-base-960h,57.2230105
SpeechRecognition,workflow-compute-cpu-6,wav2vec2-large-960h-lv60-self,139.855191
SpeechRecognition,workflow-compute-gpu-1,wav2vec2-base-960h,14.037112
SpeechRecognition,workflow-compute-gpu-1,wav2vec2-large-960h-lv60-self,25.503196
SpeechRecognition,workflow-compute-gpu-2,wav2vec2-base-960h,14.5094835
SpeechRecognition,workflow-compute-gpu-2,wav2vec2-large-960h-lv60-self,26.925889
SpeechRecognition,workflow-compute-gpu-3,wav2vec2-base-960h,14.129254
SpeechRecognition,workflow-compute-gpu-3,wav2vec2-large-960h-lv60-self,26.08734
ExtractImageFeature,workflow-compute-cpu-1,resnet18,130.687777
ExtractImageFeature,workflow-compute-cpu-1,resnet34,223.2584525
ExtractImageFeature,workflow-compute-cpu-1,resnet50,282.0690815
ExtractImageFeature,workflow-compute-cpu-1,resnet101,460.529284
ExtractImageFeature,workflow-compute-cpu-1,resnet152,642.334384
ExtractImageFeature,workflow-compute-cpu-2,resnet18,98.9693805
ExtractImageFeature,workflow-compute-cpu-2,resnet34,167.980416
ExtractImageFeature,workflow-compute-cpu-2,resnet50,232.25434
ExtractImageFeature,workflow-compute-cpu-2,resnet101,391.749502
ExtractImageFeature,workflow-compute-cpu-2,resnet152,551.5077565
ExtractImageFeature,workflow-compute-cpu-3,resnet18,56.964469
ExtractImageFeature,workflow-compute-cpu-3,resnet34,92.586134
ExtractImageFeature,workflow-compute-cpu-3,resnet50,128.21351
ExtractImageFeature,workflow-compute-cpu-3,resnet101,218.3975015
ExtractImageFeature,workflow-compute-cpu-3,resnet152,304.8334995
ExtractImageFeature,workflow-compute-cpu-4,resnet18,52.772443
ExtractImageFeature,workflow-compute-cpu-4,resnet34,85.044142
ExtractImageFeature,workflow-compute-cpu-4,resnet50,127.390084
ExtractImageFeature,workflow-compute-cpu-4,resnet101,203.006082
ExtractImageFeature,workflow-compute-cpu-4,resnet152,290.34038
ExtractImageFeature,workflow-compute-cpu-5,resnet18,33.827171
ExtractImageFeature,workflow-compute-cpu-5,resnet34,51.012874
ExtractImageFeature,workflow-compute-cpu-5,resnet50,73.673012
ExtractImageFeature,workflow-compute-cpu-5,resnet101,117.423135
ExtractImageFeature,workflow-compute-cpu-5,resnet152,163.735302
ExtractImageFeature,workflow-compute-cpu-6,resnet18,29.358655
ExtractImageFeature,workflow-compute-cpu-6,resnet34,44.8755215
ExtractImageFeature,workflow-compute-cpu-6,resnet50,78.720445
ExtractImageFeature,workflow-compute-cpu-6,resnet101,116.3992035
ExtractImageFeature,workflow-compute-cpu-6,resnet152,166.1284665
ExtractImageFeature,workflow-compute-gpu-1,resnet18,11.239897
ExtractImageFeature,workflow-compute-gpu-1,resnet34,13.558951
ExtractImageFeature,workflow-compute-gpu-1,resnet50,15.950957
ExtractImageFeature,workflow-compute-gpu-1,resnet101,23.2920825
ExtractImageFeature,workflow-compute-gpu-1,resnet152,30.449994
ExtractImageFeature,workflow-compute-gpu-2,resnet18,11.7858855
ExtractImageFeature,workflow-compute-gpu-2,resnet34,13.2719355
ExtractImageFeature,workflow-compute-gpu-2,resnet50,16.180678
ExtractImageFeature,workflow-compute-gpu-2,resnet101,22.9865655
ExtractImageFeature,workflow-compute-gpu-2,resnet152,30.0119355
ExtractImageFeature,workflow-compute-gpu-3,resnet18,11.1375835
ExtractImageFeature,workflow-compute-gpu-3,resnet34,13.181309
ExtractImageFeature,workflow-compute-gpu-3,resnet50,16.2353035
ExtractImageFeature,workflow-compute-gpu-3,resnet101,22.7931735
ExtractImageFeature,workflow-compute-gpu-3,resnet152,29.9627425
VQA,workflow-compute-cpu-1,default,38.295251
VQA,workflow-compute-cpu-2,default,25.320719
VQA,workflow-compute-cpu-3,default,15.17138
VQA,workflow-compute-cpu-4,default,14.311091
VQA,workflow-compute-cpu-5,default,9.600485
VQA,workflow-compute-cpu-6,default,9.128656
VQA,workflow-compute-gpu-1,default,4.133348
VQA,workflow-compute-gpu-2,default,4.133348
VQA,workflow-compute-gpu-3,default,4.133348
